time,source,destination,protocol,length,caplen,hlen,version,output 
1473941963534,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941963535,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963537,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941963587,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963627,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963692,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963699,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963747,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963747,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963766,"137","137",Udp,92,92,8,0,0
1473941963811,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963843,"41327","1900",Udp,320,320,8,0,0
1473941963871,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941963871,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941963873,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941963883,"41327","1900",Udp,363,363,8,0,0
1473941963894,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963941,"41327","1900",Udp,309,309,8,0,0
1473941963991,"58093","1900",Udp,216,216,8,0,0
1473941964034,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964041,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941964046,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964065,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964091,"192.168.0.142","224.0.0.22",IP,60,60,6,4,0
1473941964094,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941964104,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964115,"192.168.0.142","224.0.0.22",IP,60,60,6,4,0
1473941964125,"192.168.0.142","224.0.0.22",IP,62,62,6,4,0
1473941964131,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941964132,"192.168.0.142","224.0.0.22",IP,60,60,6,4,0
1473941964134,"63872","5355",Udp,95,95,8,0,0
1473941964134,"63872","5355",Udp,75,75,8,0,0
