time,source,destination,protocol,length,caplen,hlen,version,output 
1474222956718,"443","51785",Tcp,1454,1454,5,0,0
1474222956719,"51785","443",Tcp,54,54,5,0,0
1474222956719,"443","51785",Tcp,1454,1454,5,0,0
1474222956720,"443","51785",Tcp,1454,1454,5,0,0
1474222956720,"51785","443",Tcp,54,54,5,0,0
1474222956721,"443","51785",Tcp,1454,1454,5,0,0
1474222956722,"443","51785",Tcp,1072,1072,5,0,0
1474222956722,"51785","443",Tcp,54,54,5,0,0
1474222956730,"51797","443",Tcp,180,180,5,0,0
1474222956736,"51796","443",Tcp,180,180,5,0,0
1474222956823,"51782","443",Tcp,85,85,5,0,0
1474222956827,"51782","443",Tcp,54,54,5,0,0
1474222956852,"443","51785",Tcp,1454,1454,5,0,0
1474222956852,"443","51785",Tcp,183,183,5,0,0
1474222956852,"51785","443",Tcp,54,54,5,0,0
1474222956854,"443","51785",Tcp,1454,1454,5,0,0
1474222956854,"443","51785",Tcp,1296,1296,5,0,0
1474222956854,"51785","443",Tcp,54,54,5,0,0
1474222956856,"443","51785",Tcp,1454,1454,5,0,0
1474222956857,"443","51785",Tcp,1454,1454,5,0,0
1474222956857,"51785","443",Tcp,54,54,5,0,0
1474222956858,"443","51785",Tcp,1454,1454,5,0,0
1474222956859,"443","51785",Tcp,1454,1454,5,0,0
1474222956859,"51785","443",Tcp,54,54,5,0,0
1474222956859,"443","51785",Tcp,252,252,5,0,0
1474222956860,"443","51785",Tcp,1454,1454,5,0,0
1474222956860,"51785","443",Tcp,54,54,5,0,0
1474222956860,"443","51785",Tcp,183,183,5,0,0
1474222956861,"443","51785",Tcp,1454,1454,5,0,0
1474222956862,"51785","443",Tcp,54,54,5,0,0
1474222956863,"443","51785",Tcp,1296,1296,5,0,0
1474222956864,"443","51785",Tcp,869,869,5,0,0
1474222956864,"51785","443",Tcp,54,54,5,0,0
1474222956864,"443","51785",Tcp,155,155,5,0,0
1474222956864,"443","51785",Tcp,154,154,5,0,0
1474222956864,"51785","443",Tcp,54,54,5,0,0
1474222956886,"443","51797",Tcp,312,312,5,0,0
1474222956893,"443","51796",Tcp,312,312,5,0,0
1474222956916,"51797","443",Tcp,750,750,5,0,0
1474222956919,"443","51785",Tcp,1454,1454,5,0,0
1474222956919,"443","51785",Tcp,1454,1454,5,0,0
1474222956920,"51785","443",Tcp,54,54,5,0,0
1474222956922,"443","51785",Tcp,1454,1454,5,0,0
1474222956923,"443","51785",Tcp,1454,1454,5,0,0
1474222956923,"51785","443",Tcp,54,54,5,0,0
1474222956923,"443","51785",Tcp,1454,1454,5,0,0
1474222956924,"51796","443",Tcp,971,971,5,0,0
1474222956925,"443","51785",Tcp,1454,1454,5,0,0
1474222956925,"51785","443",Tcp,54,54,5,0,0
1474222956926,"443","51785",Tcp,1454,1454,5,0,0
1474222956927,"443","51785",Tcp,1454,1454,5,0,0
1474222956927,"51785","443",Tcp,54,54,5,0,0
1474222956931,"443","51785",Tcp,1454,1454,5,0,0
1474222956931,"443","51785",Tcp,1454,1454,5,0,0
1474222956931,"443","51785",Tcp,1454,1454,5,0,0
1474222956931,"51785","443",Tcp,54,54,5,0,0
